id,civic_centre,death_licenses,place_of_death,year,month,season
27767,ET,69,Outside City Limits,2011,1,Winter
27768,ET,341,Toronto,2011,1,Winter
27769,NY,141,Outside City Limits,2011,1,Winter
27770,NY,540,Toronto,2011,1,Winter
27771,SC,129,Outside City Limits,2011,1,Winter
27772,SC,545,Toronto,2011,1,Winter
27773,TO,297,Toronto,2011,1,Winter
27774,ET,83,Outside City Limits,2011,2,Winter
27775,ET,224,Toronto,2011,2,Winter
27776,NY,81,Outside City Limits,2011,2,Winter
27777,NY,307,Toronto,2011,2,Winter
27778,SC,68,Outside City Limits,2011,2,Winter
27779,SC,339,Toronto,2011,2,Winter
27780,TO,223,Toronto,2011,2,Winter
27781,ET,116,Outside City Limits,2011,3,Spring
27782,ET,233,Toronto,2011,3,Spring
27783,NY,118,Outside City Limits,2011,3,Spring
27784,NY,537,Toronto,2011,3,Spring
27785,SC,117,Outside City Limits,2011,3,Spring
27786,SC,283,Toronto,2011,3,Spring
27787,TO,185,Toronto,2011,3,Spring
27788,ET,83,Outside City Limits,2011,4,Spring
27789,ET,290,Toronto,2011,4,Spring
27790,NY,87,Outside City Limits,2011,4,Spring
27791,NY,553,Toronto,2011,4,Spring
27792,SC,85,Outside City Limits,2011,4,Spring
27793,SC,372,Toronto,2011,4,Spring
27794,TO,42,Toronto,2011,4,Spring
27795,ET,57,Outside City Limits,2011,5,Spring
27796,ET,176,Toronto,2011,5,Spring
27797,NY,92,Outside City Limits,2011,5,Spring
27798,NY,480,Toronto,2011,5,Spring
27799,SC,51,Outside City Limits,2011,5,Spring
27800,SC,253,Toronto,2011,5,Spring
27801,ET,30,Outside City Limits,2011,6,Summer
27802,ET,239,Toronto,2011,6,Summer
27803,NY,107,Outside City Limits,2011,6,Summer
27804,NY,479,Toronto,2011,6,Summer
27805,SC,84,Outside City Limits,2011,6,Summer
27806,SC,518,Toronto,2011,6,Summer
27807,ET,40,Outside City Limits,2011,7,Summer
27808,ET,317,Toronto,2011,7,Summer
27809,NY,50,Outside City Limits,2011,7,Summer
27810,NY,315,Toronto,2011,7,Summer
27811,SC,43,Outside City Limits,2011,7,Summer
27812,SC,312,Toronto,2011,7,Summer
27813,TO,13,Outside City Limits,2011,7,Summer
27814,TO,51,Toronto,2011,7,Summer
27815,ET,169,Outside City Limits,2011,8,Summer
27816,ET,165,Toronto,2011,8,Summer
27817,NY,117,Outside City Limits,2011,8,Summer
27818,NY,389,Toronto,2011,8,Summer
27819,SC,93,Outside City Limits,2011,8,Summer
27820,SC,320,Toronto,2011,8,Summer
27821,TO,4,Outside City Limits,2011,8,Summer
27822,TO,273,Toronto,2011,8,Summer
27823,ET,74,Outside City Limits,2011,9,Fall
27824,ET,176,Toronto,2011,9,Fall
27825,NY,133,Outside City Limits,2011,9,Fall
27826,NY,610,Toronto,2011,9,Fall
27827,SC,58,Outside City Limits,2011,9,Fall
27828,SC,394,Toronto,2011,9,Fall
27829,ET,85,Outside City Limits,2011,10,Fall
27830,ET,245,Toronto,2011,10,Fall
27831,NY,123,Outside City Limits,2011,10,Fall
27832,NY,498,Toronto,2011,10,Fall
27833,SC,57,Outside City Limits,2011,10,Fall
27834,SC,492,Toronto,2011,10,Fall
27835,TO,5,Toronto,2011,10,Fall
27836,ET,70,Outside City Limits,2011,11,Fall
27837,ET,250,Toronto,2011,11,Fall
27838,NY,104,Outside City Limits,2011,11,Fall
27839,NY,458,Toronto,2011,11,Fall
27840,SC,73,Outside City Limits,2011,11,Fall
27841,SC,378,Toronto,2011,11,Fall
27842,ET,68,Outside City Limits,2011,12,Winter
27843,ET,174,Toronto,2011,12,Winter
27844,NY,110,Outside City Limits,2011,12,Winter
27845,NY,420,Toronto,2011,12,Winter
27846,SC,94,Outside City Limits,2011,12,Winter
27847,SC,456,Toronto,2011,12,Winter
27848,ET,127,Outside City Limits,2012,1,Winter
27849,ET,396,Toronto,2012,1,Winter
27850,NY,81,Outside City Limits,2012,1,Winter
27851,NY,424,Toronto,2012,1,Winter
27852,SC,47,Outside City Limits,2012,1,Winter
27853,SC,432,Toronto,2012,1,Winter
27854,TO,97,Toronto,2012,1,Winter
27855,ET,58,Outside City Limits,2012,2,Winter
27856,ET,362,Toronto,2012,2,Winter
27857,NY,62,Outside City Limits,2012,2,Winter
27858,NY,304,Toronto,2012,2,Winter
27859,SC,137,Outside City Limits,2012,2,Winter
27860,SC,508,Toronto,2012,2,Winter
27861,TO,12,Toronto,2012,2,Winter
27862,ET,179,Outside City Limits,2012,3,Spring
27863,ET,493,Toronto,2012,3,Spring
27864,NY,39,Outside City Limits,2012,3,Spring
27865,NY,271,Toronto,2012,3,Spring
27866,SC,75,Outside City Limits,2012,3,Spring
27867,SC,432,Toronto,2012,3,Spring
27868,ET,188,Outside City Limits,2012,4,Spring
27869,ET,452,Toronto,2012,4,Spring
27870,NY,14,Outside City Limits,2012,4,Spring
27871,NY,214,Toronto,2012,4,Spring
27872,SC,23,Outside City Limits,2012,4,Spring
27873,SC,254,Toronto,2012,4,Spring
27874,ET,137,Outside City Limits,2012,5,Spring
27875,ET,658,Toronto,2012,5,Spring
27876,NY,23,Outside City Limits,2012,5,Spring
27877,NY,245,Toronto,2012,5,Spring
27878,SC,67,Outside City Limits,2012,5,Spring
27879,SC,359,Toronto,2012,5,Spring
27880,ET,172,Outside City Limits,2012,6,Summer
27881,ET,521,Toronto,2012,6,Summer
27882,NY,55,Outside City Limits,2012,6,Summer
27883,NY,138,Toronto,2012,6,Summer
27884,SC,117,Outside City Limits,2012,6,Summer
27885,SC,561,Toronto,2012,6,Summer
27886,ET,105,Outside City Limits,2012,7,Summer
27887,ET,264,Toronto,2012,7,Summer
27888,NY,70,Outside City Limits,2012,7,Summer
27889,NY,387,Toronto,2012,7,Summer
27890,SC,52,Outside City Limits,2012,7,Summer
27891,SC,293,Toronto,2012,7,Summer
27892,ET,99,Outside City Limits,2012,8,Summer
27893,ET,437,Toronto,2012,8,Summer
27894,NY,77,Outside City Limits,2012,8,Summer
27895,NY,286,Toronto,2012,8,Summer
27896,SC,46,Outside City Limits,2012,8,Summer
27897,SC,142,Toronto,2012,8,Summer
27898,ET,106,Outside City Limits,2012,9,Fall
27899,ET,425,Toronto,2012,9,Fall
27900,NY,84,Outside City Limits,2012,9,Fall
27901,NY,380,Toronto,2012,9,Fall
27902,SC,115,Outside City Limits,2012,9,Fall
27903,SC,590,Toronto,2012,9,Fall
27904,ET,103,Outside City Limits,2012,10,Fall
27905,ET,451,Toronto,2012,10,Fall
27906,NY,107,Outside City Limits,2012,10,Fall
27907,NY,377,Toronto,2012,10,Fall
27908,SC,84,Outside City Limits,2012,10,Fall
27909,SC,473,Toronto,2012,10,Fall
27910,ET,85,Outside City Limits,2012,11,Fall
27911,ET,293,Toronto,2012,11,Fall
27912,NY,88,Outside City Limits,2012,11,Fall
27913,NY,314,Toronto,2012,11,Fall
27914,SC,79,Outside City Limits,2012,11,Fall
27915,SC,434,Toronto,2012,11,Fall
27916,ET,82,Outside City Limits,2012,12,Winter
27917,ET,636,Toronto,2012,12,Winter
27918,NY,73,Outside City Limits,2012,12,Winter
27919,NY,311,Toronto,2012,12,Winter
27920,SC,36,Outside City Limits,2012,12,Winter
27921,SC,281,Toronto,2012,12,Winter
27922,ET,283,Outside City Limits,2013,1,Winter
27923,ET,631,Toronto,2013,1,Winter
27924,NY,117,Outside City Limits,2013,1,Winter
27925,NY,418,Toronto,2013,1,Winter
27926,SC,78,Outside City Limits,2013,1,Winter
27927,SC,582,Toronto,2013,1,Winter
27928,ET,103,Outside City Limits,2013,2,Winter
27929,ET,434,Toronto,2013,2,Winter
27930,NY,54,Outside City Limits,2013,2,Winter
27931,NY,243,Toronto,2013,2,Winter
27932,SC,59,Outside City Limits,2013,2,Winter
27933,SC,420,Toronto,2013,2,Winter
27934,ET,94,Outside City Limits,2013,3,Spring
27935,ET,312,Toronto,2013,3,Spring
27936,NY,80,Outside City Limits,2013,3,Spring
27937,NY,234,Toronto,2013,3,Spring
27938,SC,95,Outside City Limits,2013,3,Spring
27939,SC,416,Toronto,2013,3,Spring
27940,ET,163,Outside City Limits,2013,4,Spring
27941,ET,669,Toronto,2013,4,Spring
27942,NY,47,Outside City Limits,2013,4,Spring
27943,NY,226,Toronto,2013,4,Spring
27944,SC,76,Outside City Limits,2013,4,Spring
27945,SC,501,Toronto,2013,4,Spring
27946,ET,82,Outside City Limits,2013,5,Spring
27947,ET,435,Toronto,2013,5,Spring
27948,NY,81,Outside City Limits,2013,5,Spring
27949,NY,276,Toronto,2013,5,Spring
27950,SC,86,Outside City Limits,2013,5,Spring
27951,SC,432,Toronto,2013,5,Spring
27952,ET,93,Outside City Limits,2013,6,Summer
27953,ET,506,Toronto,2013,6,Summer
27954,NY,66,Outside City Limits,2013,6,Summer
27955,NY,236,Toronto,2013,6,Summer
27956,SC,54,Outside City Limits,2013,6,Summer
27957,SC,255,Toronto,2013,6,Summer
27958,ET,193,Outside City Limits,2013,7,Summer
27959,ET,732,Toronto,2013,7,Summer
27960,NY,55,Outside City Limits,2013,7,Summer
27961,NY,276,Toronto,2013,7,Summer
27962,SC,58,Outside City Limits,2013,7,Summer
27963,SC,346,Toronto,2013,7,Summer
27964,ET,116,Outside City Limits,2013,8,Summer
27965,ET,379,Toronto,2013,8,Summer
27966,NY,83,Outside City Limits,2013,8,Summer
27967,NY,290,Toronto,2013,8,Summer
27968,SC,33,Outside City Limits,2013,8,Summer
27969,SC,217,Toronto,2013,8,Summer
27970,ET,150,Outside City Limits,2013,9,Fall
27971,ET,449,Toronto,2013,9,Fall
27972,NY,109,Outside City Limits,2013,9,Fall
27973,NY,487,Toronto,2013,9,Fall
27974,SC,83,Outside City Limits,2013,9,Fall
27975,SC,338,Toronto,2013,9,Fall
27976,ET,111,Outside City Limits,2013,10,Fall
27977,ET,414,Toronto,2013,10,Fall
27978,NY,98,Outside City Limits,2013,10,Fall
27979,NY,390,Toronto,2013,10,Fall
27980,SC,82,Outside City Limits,2013,10,Fall
27981,SC,433,Toronto,2013,10,Fall
27982,ET,99,Outside City Limits,2013,11,Fall
27983,ET,338,Toronto,2013,11,Fall
27984,NY,60,Outside City Limits,2013,11,Fall
27985,NY,277,Toronto,2013,11,Fall
27986,SC,86,Outside City Limits,2013,11,Fall
27987,SC,398,Toronto,2013,11,Fall
27988,ET,66,Outside City Limits,2013,12,Winter
27989,ET,432,Toronto,2013,12,Winter
27990,NY,95,Outside City Limits,2013,12,Winter
27991,NY,331,Toronto,2013,12,Winter
27992,SC,81,Outside City Limits,2013,12,Winter
27993,SC,318,Toronto,2013,12,Winter
27994,ET,215,Outside City Limits,2014,1,Winter
27995,ET,569,Toronto,2014,1,Winter
27996,NY,149,Outside City Limits,2014,1,Winter
27997,NY,503,Toronto,2014,1,Winter
27998,SC,104,Outside City Limits,2014,1,Winter
27999,SC,555,Toronto,2014,1,Winter
28000,ET,136,Outside City Limits,2014,2,Winter
28001,ET,379,Toronto,2014,2,Winter
28002,NY,93,Outside City Limits,2014,2,Winter
28003,NY,381,Toronto,2014,2,Winter
28004,SC,66,Outside City Limits,2014,2,Winter
28005,SC,335,Toronto,2014,2,Winter
28006,ET,112,Outside City Limits,2014,3,Spring
28007,ET,394,Toronto,2014,3,Spring
28008,NY,158,Outside City Limits,2014,3,Spring
28009,NY,618,Toronto,2014,3,Spring
28010,SC,90,Outside City Limits,2014,3,Spring
28011,SC,410,Toronto,2014,3,Spring
28012,ET,112,Outside City Limits,2014,4,Spring
28013,ET,352,Toronto,2014,4,Spring
28014,NY,115,Outside City Limits,2014,4,Spring
28015,NY,518,Toronto,2014,4,Spring
28016,SC,59,Outside City Limits,2014,4,Spring
28017,SC,402,Toronto,2014,4,Spring
28018,ET,78,Outside City Limits,2014,5,Spring
28019,ET,330,Toronto,2014,5,Spring
28020,NY,63,Outside City Limits,2014,5,Spring
28021,NY,296,Toronto,2014,5,Spring
28022,SC,108,Outside City Limits,2014,5,Spring
28023,SC,398,Toronto,2014,5,Spring
28024,ET,95,Outside City Limits,2014,6,Summer
28025,ET,371,Toronto,2014,6,Summer
28026,NY,99,Outside City Limits,2014,6,Summer
28027,NY,404,Toronto,2014,6,Summer
28028,SC,63,Outside City Limits,2014,6,Summer
28029,SC,390,Toronto,2014,6,Summer
28030,ET,116,Outside City Limits,2014,7,Summer
28031,ET,393,Toronto,2014,7,Summer
28032,NY,119,Outside City Limits,2014,7,Summer
28033,NY,454,Toronto,2014,7,Summer
28034,SC,44,Outside City Limits,2014,7,Summer
28035,SC,258,Toronto,2014,7,Summer
28036,ET,80,Outside City Limits,2014,8,Summer
28037,ET,301,Toronto,2014,8,Summer
28038,NY,103,Outside City Limits,2014,8,Summer
28039,NY,277,Toronto,2014,8,Summer
28040,SC,120,Outside City Limits,2014,8,Summer
28041,SC,518,Toronto,2014,8,Summer
28042,ET,105,Outside City Limits,2014,9,Fall
28043,ET,274,Toronto,2014,9,Fall
28044,NY,94,Outside City Limits,2014,9,Fall
28045,NY,391,Toronto,2014,9,Fall
28046,SC,96,Outside City Limits,2014,9,Fall
28047,SC,427,Toronto,2014,9,Fall
28048,ET,92,Outside City Limits,2014,10,Fall
28049,ET,297,Toronto,2014,10,Fall
28050,NY,59,Outside City Limits,2014,10,Fall
28051,NY,454,Toronto,2014,10,Fall
28052,SC,81,Outside City Limits,2014,10,Fall
28053,SC,459,Toronto,2014,10,Fall
28054,ET,138,Outside City Limits,2014,11,Fall
28055,ET,467,Toronto,2014,11,Fall
28056,NY,93,Outside City Limits,2014,11,Fall
28057,NY,267,Toronto,2014,11,Fall
28058,SC,71,Outside City Limits,2014,11,Fall
28059,SC,432,Toronto,2014,11,Fall
28060,ET,111,Outside City Limits,2014,12,Winter
28061,ET,308,Toronto,2014,12,Winter
28062,NY,73,Outside City Limits,2014,12,Winter
28063,NY,441,Toronto,2014,12,Winter
28064,SC,85,Outside City Limits,2014,12,Winter
28065,SC,482,Toronto,2014,12,Winter
28066,ET,158,Outside City Limits,2015,1,Winter
28067,ET,487,Toronto,2015,1,Winter
28068,NY,119,Outside City Limits,2015,1,Winter
28069,NY,422,Toronto,2015,1,Winter
28070,SC,94,Outside City Limits,2015,1,Winter
28071,SC,580,Toronto,2015,1,Winter
28072,ET,132,Outside City Limits,2015,2,Winter
28073,ET,543,Toronto,2015,2,Winter
28074,NY,93,Outside City Limits,2015,2,Winter
28075,NY,210,Toronto,2015,2,Winter
28076,SC,107,Outside City Limits,2015,2,Winter
28077,SC,500,Toronto,2015,2,Winter
28078,ET,139,Outside City Limits,2015,3,Spring
28079,ET,584,Toronto,2015,3,Spring
28080,NY,65,Outside City Limits,2015,3,Spring
28081,NY,347,Toronto,2015,3,Spring
28082,SC,63,Outside City Limits,2015,3,Spring
28083,SC,367,Toronto,2015,3,Spring
28084,ET,113,Outside City Limits,2015,4,Spring
28085,ET,399,Toronto,2015,4,Spring
28086,NY,126,Outside City Limits,2015,4,Spring
28087,NY,345,Toronto,2015,4,Spring
28088,SC,60,Outside City Limits,2015,4,Spring
28089,SC,436,Toronto,2015,4,Spring
28090,ET,64,Outside City Limits,2015,5,Spring
28091,ET,273,Toronto,2015,5,Spring
28092,NY,94,Outside City Limits,2015,5,Spring
28093,NY,422,Toronto,2015,5,Spring
28094,SC,49,Outside City Limits,2015,5,Spring
28095,SC,364,Toronto,2015,5,Spring
28096,ET,124,Outside City Limits,2015,6,Summer
28097,ET,319,Toronto,2015,6,Summer
28098,NY,54,Outside City Limits,2015,6,Summer
28099,NY,363,Toronto,2015,6,Summer
28100,SC,93,Outside City Limits,2015,6,Summer
28101,SC,450,Toronto,2015,6,Summer
28102,ET,93,Outside City Limits,2015,7,Summer
28103,ET,374,Toronto,2015,7,Summer
28104,NY,76,Outside City Limits,2015,7,Summer
28105,NY,369,Toronto,2015,7,Summer
28106,SC,94,Outside City Limits,2015,7,Summer
28107,SC,466,Toronto,2015,7,Summer
28108,ET,81,Outside City Limits,2015,8,Summer
28109,ET,334,Toronto,2015,8,Summer
28110,NY,111,Outside City Limits,2015,8,Summer
28111,NY,484,Toronto,2015,8,Summer
28112,SC,97,Outside City Limits,2015,8,Summer
28113,SC,416,Toronto,2015,8,Summer
28114,ET,75,Outside City Limits,2015,9,Fall
28115,ET,310,Toronto,2015,9,Fall
28116,NY,87,Outside City Limits,2015,9,Fall
28117,NY,333,Toronto,2015,9,Fall
28118,SC,86,Outside City Limits,2015,9,Fall
28119,SC,432,Toronto,2015,9,Fall
28120,ET,158,Outside City Limits,2015,10,Fall
28121,ET,401,Toronto,2015,10,Fall
28122,NY,79,Outside City Limits,2015,10,Fall
28123,NY,301,Toronto,2015,10,Fall
28124,SC,83,Outside City Limits,2015,10,Fall
28125,SC,372,Toronto,2015,10,Fall
28126,ET,116,Outside City Limits,2015,11,Fall
28127,ET,460,Toronto,2015,11,Fall
28128,NY,70,Outside City Limits,2015,11,Fall
28129,NY,372,Toronto,2015,11,Fall
28130,SC,86,Outside City Limits,2015,11,Fall
28131,SC,413,Toronto,2015,11,Fall
28132,ET,68,Outside City Limits,2015,12,Winter
28133,ET,333,Toronto,2015,12,Winter
28134,NY,70,Outside City Limits,2015,12,Winter
28135,NY,259,Toronto,2015,12,Winter
28136,SC,98,Outside City Limits,2015,12,Winter
28137,SC,459,Toronto,2015,12,Winter
28138,ET,183,Outside City Limits,2016,1,Winter
28139,ET,422,Toronto,2016,1,Winter
28140,NY,90,Outside City Limits,2016,1,Winter
28141,NY,396,Toronto,2016,1,Winter
28142,SC,87,Outside City Limits,2016,1,Winter
28143,SC,564,Toronto,2016,1,Winter
28144,ET,95,Outside City Limits,2016,2,Winter
28145,ET,387,Toronto,2016,2,Winter
28146,NY,83,Outside City Limits,2016,2,Winter
28147,NY,285,Toronto,2016,2,Winter
28148,SC,99,Outside City Limits,2016,2,Winter
28149,SC,471,Toronto,2016,2,Winter
28150,ET,155,Outside City Limits,2016,3,Spring
28151,ET,440,Toronto,2016,3,Spring
28152,NY,95,Outside City Limits,2016,3,Spring
28153,NY,311,Toronto,2016,3,Spring
28154,SC,93,Outside City Limits,2016,3,Spring
28155,SC,533,Toronto,2016,3,Spring
28156,ET,104,Outside City Limits,2016,4,Spring
28157,ET,414,Toronto,2016,4,Spring
28158,NY,51,Outside City Limits,2016,4,Spring
28159,NY,255,Toronto,2016,4,Spring
28160,SC,107,Outside City Limits,2016,4,Spring
28161,SC,539,Toronto,2016,4,Spring
28162,ET,137,Outside City Limits,2016,5,Spring
28163,ET,355,Toronto,2016,5,Spring
28164,NY,106,Outside City Limits,2016,5,Spring
