month,civic_centre,death_licenses
Apr,ET,7378
Aug,ET,5906
Dec,ET,5624
Feb,ET,8806
Jan,ET,10743
Jul,ET,6676
Jun,ET,7114
Mar,ET,9248
May,ET,9635
Nov,ET,7769
Oct,ET,7197
Sep,ET,6861
Apr,NY,8034
Aug,NY,8434
Dec,NY,5326
Feb,NY,5152
Jan,NY,8445
Jul,NY,5982
Jun,NY,6846
Mar,NY,7509
May,NY,8062
Nov,NY,6963
Oct,NY,5871
Sep,NY,6731
Apr,SC,5261
Aug,SC,4513
Dec,SC,4376
Feb,SC,5412
Jan,SC,6956
Jul,SC,4205
Jun,SC,4704
Mar,SC,5202
May,SC,6592
Nov,SC,5074
Oct,SC,5237
Sep,SC,5117
Apr,TO,612
Aug,TO,729
Dec,TO,170
Feb,TO,796
Jan,TO,1108
Jul,TO,640
Jun,TO,497
Mar,TO,849
May,TO,439
Nov,TO,686
Oct,TO,1107
Sep,TO,873
