month,place_of_death,death_licenses
Apr,Outside City Limits,4424
Aug,Outside City Limits,4420
Dec,Outside City Limits,3128
Feb,Outside City Limits,4391
Jan,Outside City Limits,5713
Jul,Outside City Limits,3594
Jun,Outside City Limits,4159
Mar,Outside City Limits,4811
May,Outside City Limits,5245
Nov,Outside City Limits,4158
Oct,Outside City Limits,4002
Sep,Outside City Limits,4262
Apr,Toronto,16861
Aug,Toronto,15162
Dec,Toronto,12368
Feb,Toronto,15775
Jan,Toronto,21539
Jul,Toronto,13909
Jun,Toronto,15002
Mar,Toronto,17997
May,Toronto,19483
Nov,Toronto,16334
Oct,Toronto,15410
Sep,Toronto,15320
