_id,CIVIC_CENTRE,DEATH_LICENSES,PLACE_OF_DEATH,TIME_PERIOD
27767,ET,69,Outside City Limits,2011-01
27768,ET,341,Toronto,2011-01
27769,NY,141,Outside City Limits,2011-01
27770,NY,540,Toronto,2011-01
27771,SC,129,Outside City Limits,2011-01
27772,SC,545,Toronto,2011-01
27773,TO,297,Toronto,2011-01
27774,ET,83,Outside City Limits,2011-02
27775,ET,224,Toronto,2011-02
27776,NY,81,Outside City Limits,2011-02
27777,NY,307,Toronto,2011-02
27778,SC,68,Outside City Limits,2011-02
27779,SC,339,Toronto,2011-02
27780,TO,223,Toronto,2011-02
27781,ET,116,Outside City Limits,2011-03
27782,ET,233,Toronto,2011-03
27783,NY,118,Outside City Limits,2011-03
27784,NY,537,Toronto,2011-03
27785,SC,117,Outside City Limits,2011-03
27786,SC,283,Toronto,2011-03
27787,TO,185,Toronto,2011-03
27788,ET,83,Outside City Limits,2011-04
27789,ET,290,Toronto,2011-04
27790,NY,87,Outside City Limits,2011-04
27791,NY,553,Toronto,2011-04
27792,SC,85,Outside City Limits,2011-04
27793,SC,372,Toronto,2011-04
27794,TO,42,Toronto,2011-04
27795,ET,57,Outside City Limits,2011-05
27796,ET,176,Toronto,2011-05
27797,NY,92,Outside City Limits,2011-05
27798,NY,480,Toronto,2011-05
27799,SC,51,Outside City Limits,2011-05
27800,SC,253,Toronto,2011-05
27801,ET,30,Outside City Limits,2011-06
27802,ET,239,Toronto,2011-06
27803,NY,107,Outside City Limits,2011-06
27804,NY,479,Toronto,2011-06
27805,SC,84,Outside City Limits,2011-06
27806,SC,518,Toronto,2011-06
27807,ET,40,Outside City Limits,2011-07
27808,ET,317,Toronto,2011-07
27809,NY,50,Outside City Limits,2011-07
27810,NY,315,Toronto,2011-07
27811,SC,43,Outside City Limits,2011-07
27812,SC,312,Toronto,2011-07
27813,TO,13,Outside City Limits,2011-07
27814,TO,51,Toronto,2011-07
27815,ET,169,Outside City Limits,2011-08
27816,ET,165,Toronto,2011-08
27817,NY,117,Outside City Limits,2011-08
27818,NY,389,Toronto,2011-08
27819,SC,93,Outside City Limits,2011-08
27820,SC,320,Toronto,2011-08
27821,TO,4,Outside City Limits,2011-08
27822,TO,273,Toronto,2011-08
27823,ET,74,Outside City Limits,2011-09
27824,ET,176,Toronto,2011-09
27825,NY,133,Outside City Limits,2011-09
27826,NY,610,Toronto,2011-09
27827,SC,58,Outside City Limits,2011-09
27828,SC,394,Toronto,2011-09
27829,ET,85,Outside City Limits,2011-10
27830,ET,245,Toronto,2011-10
27831,NY,123,Outside City Limits,2011-10
27832,NY,498,Toronto,2011-10
27833,SC,57,Outside City Limits,2011-10
27834,SC,492,Toronto,2011-10
27835,TO,5,Toronto,2011-10
27836,ET,70,Outside City Limits,2011-11
27837,ET,250,Toronto,2011-11
27838,NY,104,Outside City Limits,2011-11
27839,NY,458,Toronto,2011-11
27840,SC,73,Outside City Limits,2011-11
27841,SC,378,Toronto,2011-11
27842,ET,68,Outside City Limits,2011-12
